               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.036108,            0.023292,           0.0032846,             0.98316,             0.46347,             0.58469,             0.31073,            0.037238,            0.014682,            0.012314,            0.006535,            0.006535,            0.006535
                  37,            0.035764,            0.023399,           0.0026728,              0.5168,             0.54014,             0.55208,             0.29602,            0.039833,            0.014433,            0.012875,            0.006436,            0.006436,            0.006436
                  38,            0.037016,            0.025689,           0.0039444,             0.92741,             0.52658,              0.5734,             0.25296,             0.04765,            0.015404,           0.0087395,            0.006337,            0.006337,            0.006337
                  39,            0.034178,             0.02247,           0.0042099,             0.62118,             0.51377,             0.58184,             0.27243,            0.044133,            0.014691,           0.0085225,            0.006238,            0.006238,            0.006238
                  40,            0.034388,            0.024756,           0.0027612,              0.6197,             0.51481,             0.58087,             0.31675,            0.037782,            0.014401,           0.0094252,            0.006139,            0.006139,            0.006139
                  41,             0.03336,            0.021578,           0.0035103,             0.51424,             0.54815,               0.549,              0.2586,            0.043659,            0.015619,            0.011797,             0.00604,             0.00604,             0.00604
                  42,            0.035007,            0.026883,           0.0031295,             0.55175,             0.52222,             0.56592,             0.28597,            0.041074,            0.015445,            0.011326,            0.005941,            0.005941,            0.005941
                  43,            0.033981,            0.023694,           0.0043052,             0.87548,             0.52739,              0.5739,             0.35732,            0.036857,            0.015416,             0.01693,            0.005842,            0.005842,            0.005842
                  44,            0.035874,            0.023464,           0.0026453,             0.84332,             0.55926,             0.57283,             0.27494,             0.04351,            0.015399,            0.018805,            0.005743,            0.005743,            0.005743
                  45,            0.033539,            0.023872,           0.0027265,             0.52038,              0.5396,              0.5632,             0.28796,              0.0418,             0.01593,            0.018649,            0.005644,            0.005644,            0.005644
                  46,            0.032608,            0.023951,           0.0043255,             0.93839,             0.51007,             0.56089,             0.22243,            0.048714,            0.016571,            0.010762,            0.005545,            0.005545,            0.005545
                  47,            0.031632,            0.020597,           0.0020931,             0.97019,             0.58889,             0.63546,             0.28236,            0.042911,            0.015557,           0.0055976,            0.005446,            0.005446,            0.005446
                  48,            0.032393,            0.022369,            0.002186,              0.9539,             0.55556,             0.59037,             0.25365,            0.046123,            0.015362,           0.0054568,            0.005347,            0.005347,            0.005347
